Species	Wing length	Apical field area	Total wing area	Apical field %	No. anal veins	Body Length	ln Wing length	ln Apical field area	ln Total wing area	ln Apical field %	Ln (anal veins)	ln(Body Length)
Amazonina_platystylata	10.41	0.69	50.07	0.01	6	11	2.35	0.52	3.93	0.01	1.79	2.4
Anaplecta_ch_maculataD/cFmalayensisT	7.9	8.37	28.36	0.3	5	5.5	2.08	2.24	3.38	0.26	1.61	1.7
Anaplecta_pulchella	7.04	1.5	20.25	0.07	5	8	1.97	0.92	3.06	0.07	1.61	2.08
Anaplecta_pygmaea	5.08	4.23	8.53	0.5	4	2.7	1.64	1.65	2.25	0.4	1.39	0.99
Anaplecta_sp	?	64	263	0.24	6	?	?	4.17	5.58	0.22	1.79	?
Anaplectoidea_klossi	6.4	4.03	25.6	0.16	6	6	1.87	1.62	3.28	0.15	1.79	1.79
Anaplectoidea_sp_cf_modiglianii	1.92	0.4	1.82	0.22	6	5.5	0.7	0.34	1.04	0.2	1.79	1.7
Anaplectoidea_ch_klossiD/modiglianiiD/klossiT	4.16	2.215	13.71	0.19	6	5.75	1.45	1.17	2.69	0.17	1.79	1.75
Archimandrita_tessellata	?	0	0.93	0	?	66	?	0	0.66	0	?	4.19
Balta_maculataD/notulataT	8.92	0	41.23	0	5	14	2.2	0	3.74	0	1.61	2.64
Blaberus_atropos	41.19	0	714.4	0	7	52	3.72	0	6.57	0	1.95	3.95
Blattella_germanica	8.4	0.7	32.3	0.02	5	12	2.14	0.53	3.51	0.02	1.61	2.48
Buboblatta_vlasaki	10.4	0	53.7	0	5	9	2.35	0	4	0	1.61	2.2
Calhypnorna_sp	8.5	4.7	33.1	0.14	11	8	2.15	1.74	3.53	0.13	2.4	2.08
Cariblatta_ch_aediculataD/spT	9.85	0	41.57	0	7	9	2.3	0	3.75	0	1.95	2.2
Chorisoblatta_chopardi	6.46	0	27.03	0	6	10.8	1.88	0	3.33	0	1.79	2.38
Chorisoblatta_denticulara	9.1	3.3	38.36	0.09	8	9	2.22	1.46	3.67	0.08	2.08	2.2
Chorisoneura_ch_gemmiculaD/inversaT	7.4	1.8	30.4	0.06	10	8	2.01	1.03	3.45	0.06	2.3	2.08
